branching_factor,false_positive_rate,max_elements,total storage,name,num_nodes_visited,nodes_visited,time
2,0.1,1000,91067,Jake,11,"[1, 2, 5, 10, 20, 41, 83, 166, 332, 664, 1328]",0.009433269500732422
2,0.1,1000,91067,Richard,14,"[1, 2, 3, 6, 7, 14, 28, 56, 57, 114, 229, 458, 916, 1833]",0.008175134658813477
2,0.1,1000,91067,Karen,13,"[1, 2, 3, 6, 12, 13, 26, 53, 107, 214, 428, 857, 1714]",0.008441925048828125
2,0.1,1000,91067,Pamela,13,"[1, 2, 3, 6, 13, 26, 52, 53, 106, 213, 427, 855, 1711]",0.008110284805297852
2,0.1,1000,91067,Edwin,12,"[1, 2, 3, 6, 12, 25, 50, 101, 202, 404, 809, 1619]",0.008064031600952148
2,0.1,1000,91067,Antonia,12,"[1, 2, 3, 7, 14, 28, 57, 114, 228, 456, 913, 1827]",0.007918119430541992
2,0.1,1000,91067,Rick,11,"[1, 2, 5, 10, 20, 41, 83, 166, 333, 666, 1333]",0.007969141006469727
2,0.1,1000,91067,Candace,11,"[1, 2, 4, 8, 17, 34, 68, 137, 275, 550, 1101]",0.008280038833618164
2,0.1,1000,91067,Rosa,13,"[1, 2, 3, 6, 7, 14, 28, 57, 115, 231, 462, 924, 1848]",0.008022069931030273
2,0.1,1000,91067,Elizabeth,12,"[1, 2, 3, 7, 14, 28, 57, 114, 229, 459, 919, 1838]",0.007916927337646484
2,0.1,1000,91067,Nicole,12,"[1, 2, 3, 6, 13, 27, 55, 110, 221, 443, 886, 1773]",0.007864236831665039
2,0.1,1000,91067,Reginald,11,"[1, 2, 5, 11, 23, 47, 95, 191, 383, 767, 1535]",0.007938146591186523
2,0.1,1000,91067,Bonnie,12,"[1, 2, 3, 7, 15, 30, 60, 120, 240, 481, 962, 1925]",0.007905006408691406
2,0.1,1000,91067,Thomas,14,"[1, 2, 3, 6, 7, 14, 15, 30, 60, 121, 243, 486, 972, 1945]",0.008224010467529297
2,0.1,1000,91067,Charles,14,"[1, 2, 3, 6, 7, 14, 15, 30, 60, 120, 240, 480, 961, 1922]",0.007880926132202148
2,0.1,1000,91067,Tania,11,"[1, 2, 4, 9, 18, 37, 74, 148, 296, 592, 1184]",0.007986783981323242
2,0.1,1000,91067,Martha,11,"[1, 2, 4, 8, 17, 34, 69, 139, 279, 559, 1118]",0.007925748825073242
2,0.1,1000,91067,Nicolas,11,"[1, 3, 6, 13, 26, 52, 104, 209, 418, 837, 1674]",0.008042097091674805
2,0.1,1000,91067,Steven,14,"[1, 2, 3, 6, 7, 15, 30, 31, 62, 124, 248, 496, 992, 1984]",0.007868766784667969
2,0.1,1000,91067,William,15,"[1, 2, 3, 6, 7, 14, 15, 30, 31, 63, 126, 252, 504, 1008, 2017]",0.008008956909179688
2,0.1,1000,91067,Gerald,12,"[1, 2, 3, 7, 14, 29, 59, 118, 237, 474, 949, 1899]",0.007862091064453125
2,0.1,1000,91067,Catherine,12,"[1, 2, 3, 7, 14, 28, 56, 113, 226, 453, 907, 1814]",0.008467912673950195
2,0.1,1000,91067,Grace,11,"[1, 2, 5, 10, 20, 40, 80, 161, 322, 644, 1288]",0.008054971694946289
2,0.1,1000,91067,Antonia,12,"[1, 2, 3, 7, 14, 28, 57, 114, 228, 456, 913, 1827]",0.008014917373657227
2,0.1,1000,91067,John,14,"[1, 2, 3, 6, 7, 14, 15, 30, 60, 121, 243, 487, 974, 1948]",0.007879257202148438
2,0.1,1000,91067,Raquel,11,"[1, 2, 4, 9, 18, 36, 73, 147, 295, 590, 1181]",0.007993698120117188
2,0.1,1000,91067,Ed,11,"[1, 3, 7, 14, 28, 57, 114, 229, 458, 916, 1832]",0.007824182510375977
2,0.1,1000,91067,William,15,"[1, 2, 3, 6, 7, 14, 15, 30, 31, 63, 126, 252, 504, 1008, 2017]",0.008054018020629883
2,0.1,1000,91067,Garrett,11,"[1, 2, 4, 8, 16, 33, 66, 132, 265, 530, 1061]",0.00793600082397461
2,0.1,1000,91067,Matthew,12,"[1, 2, 5, 10, 11, 22, 44, 88, 177, 355, 711, 1422]",0.008208036422729492
2,0.1,1000,91067,Fernando,11,"[1, 2, 5, 10, 20, 40, 81, 162, 325, 651, 1303]",0.008720874786376953
2,0.1,1000,91067,Lisa,14,"[1, 2, 3, 6, 7, 14, 15, 30, 61, 122, 245, 491, 982, 1965]",0.00932002067565918
2,0.1,1000,91067,Rosa,13,"[1, 2, 3, 6, 7, 14, 28, 57, 115, 231, 462, 924, 1848]",0.009840011596679688
2,0.1,1000,91067,Harold,12,"[1, 2, 3, 7, 15, 31, 63, 126, 252, 504, 1009, 2018]",0.009297847747802734
2,0.1,1000,91067,Kenneth,12,"[1, 2, 4, 8, 16, 17, 35, 71, 142, 284, 569, 1139]",0.008941888809204102
2,0.1,1000,91067,David,14,"[1, 2, 3, 6, 7, 14, 15, 30, 61, 122, 244, 488, 977, 1954]",0.0082550048828125
2,0.1,1000,91067,Lynn,12,"[1, 3, 6, 12, 25, 51, 103, 206, 207, 414, 829, 1659]",0.008076190948486328
2,0.1,1000,91067,Avery,12,"[1, 2, 3, 7, 15, 30, 60, 121, 243, 486, 973, 1946]",0.008231163024902344
2,0.1,1000,91067,Elia,11,"[1, 2, 5, 11, 22, 44, 89, 179, 358, 716, 1432]",0.008064031600952148
2,0.1,1000,91067,Gloria,12,"[1, 2, 3, 7, 15, 30, 60, 120, 240, 480, 960, 1921]",0.008445978164672852
2,0.1,1000,91067,Gwendolyn,11,"[1, 2, 5, 11, 23, 47, 94, 189, 379, 758, 1517]",0.00852203369140625
2,0.1,1000,91067,Betty,13,"[1, 2, 3, 6, 7, 15, 31, 62, 124, 249, 499, 999, 1999]",0.008615970611572266
2,0.1,1000,91067,Helen,14,"[1, 2, 3, 6, 7, 15, 30, 31, 62, 124, 248, 496, 992, 1985]",0.008346080780029297
